track_id,title,artist,has_embedding,embedding_dim,model,embedding_text,updated_at
5486ff72afe77ed9fd175a0c5f09cd5f0e3581fb4d6ca2d301cbbd4320f3f302,Savage,aespa,no,,,,
552d7357c391b93972a2233c1ffccb8ddfba8b7230f15d443128016bd7ecde39,Closer,The Chainsmokers;Halsey,no,,,,
567c0707e6f04b44df5c476219f79fa896f3c4d723bf08d8dc71d04e2231bab0,Kids,MGMT,no,,,,
574efc0a2781f04c170369fc8a6cbed13b18cd030e1719b69636d8674d63d315,SHEESH,BABYMONSTER,no,,,,
575f4faec4e91da5eb49706e4ba3740e65d2bac35c11ec6c8acbd2d27fe4c8ca,3D - Alternate Ver.,Jung Kook,no,,,,
578cbaa88bcaf624264653d2e4c9eae1c0ebda8b073a2b2d7d3389a14e3087c3,I Feel It Coming,The Weeknd;Daft Punk,no,,,,
58a4468f827ad751417cddd05ee41453f17899deefb2494d4c3e6c085c6dd71b,Take Me to Church,Hozier,no,,,,
58aaa237475dcde0970af37a63bf9a0a7ac361882e76e877358f40ac150ace14,My Love Mine All Mine,Mitski,no,,,,
58d3b0c86253afbdb5c9e0edf385ebc9485e40cf5e5d78178f311fbcc8625da4,Chaise Longue,Wet Leg,no,,,,
5b739b6472c48d751b76457b07c977af5950c415b711e968bddf97722613f59b,UP!,Forrest Frank;Connor Price,no,,,,
5cd3a03d0ef9fc163eb72afc87754d065f9e510eb13b98d91969516ba699ccd2,Chandelier,Sia,no,,,,
5cfbfeaa2fb0ec57dd5e003ba02d7e42c681214e48e0baa983cd9c70a7b7fbb5,Electric Feel,MGMT,no,,,,
5d429221b5510f4fa7c9ed9eb5be2e79753f5e51ea525e8b32990218960fa501,ZEN (Explicit),JENNIE,no,,,,
5fa214e7021bb3e881bb67ca86ac227fa67708f6a956042b4b940ae73c094e0d,Moral of the Story,Ashe,no,,,,
6192f8ac566c4f86a1e9fb9a0aacea56c8d0b3a4f36ef9b095c6ae2bf0b10a5f,Ur Mum (Explicit),Wet Leg,no,,,,
61f497ea94763572f390d7781d8d921799a083631b1db349e53e210331bcf9ef,Feather (Explicit),Sabrina Carpenter,no,,,,
64e61a7d8b333163733b3aacc3fec8454b27745d046b14bb46bd4d5e01d5b19a,abcdefu (Explicit),GAYLE,no,,,,
650ac985d65a9875bb288affe11596f0fee92c8c61d35f55f92dca6949bfeedf,Super Shy,NewJeans,no,,,,
67a3c55a26a68c9ed58f9803e612b738777affee59c0d0e37d4e423a06f7e755,All Eyes On Me,JISOO,no,,,,
687d1f57eb4d6af71eb95bc0cddf9100d37b1350c899467048bab35b801e2b4f,怪美的,蔡依林,no,,,,
6894128e0750086e1ed343b6b4188527c5e726eff7c791a69f1cd8022791301b,Without Me,Halsey,no,,,,
68a16095271b66d55e1c8dac3a1250e05125a42bf8bf288bc9b77e061259e53a,360 (Explicit),Charli xcx,no,,,,
6934843b49e470f328d309c6711736109babeebc10e29cba03bff20aad295b74,Eyes Closed,Ed Sheeran,no,,,,
69be1254dcfb859716e2316e2e89b7c050064db6ffb3d3bc025873d45b96fab2,Fortnight,Taylor Swift;Post Malone,no,,,,
6a395cb2797ff52d67dbc3794cef4f2bc5acb905541f8841af6621db1ad8a1e7,Cool About It,boygenius,no,,,,
6ca5a653e0c98e5081896bb04cfc77c96a7b317fc96cf2f38741ccad285394db,TGIF,XG,no,,,,
6cba6b47e5b95a8baab07c9a502bc5351a90f97ced1d061622b5ee4e0691c838,Bloom,Troye Sivan,no,,,,
6d865a316f7df84b393926b79f696701ce733e089f71c91b0926590df8818014,Way Less Sad,AJR,no,,,,
70fba6691c6def7f4390e7434342aa574dfd0767ac4a9e1cac93d9868d1f6469,Agora Hills,Doja Cat,no,,,,
733ba1c028e3424ec790fed34b9e1e2712b6125db36cb58570b4280435241c7e,Not Strong Enough,boygenius,no,,,,
73f4ae3f208c1d202fa2172f6cc939a8ae9bcc69060f188ba35cbd03ded9bde4,2002,Anne-Marie,no,,,,
743ce2b61d75d50d764d927386aa16f22140f93fb81ad3a4f0303de21c664dab,"yes, and?",Ariana Grande,no,,,,
746c5d205da3c2fbe98f7e60e9443c7c35668569f6cb525ed6307ff91a34cf11,CAKE,ITZY,no,,,,
747410d9fc3f237172018ada4d0be132ffabe12e9c6843d6fcc255d8a44c28db,Spinnin,Connor Price;Bens,no,,,,
764cc6c9729e065b54d86c8b0a458e66ec43c120951c08f289122be78f34c5e3,HOT TO GO!,Chappell Roan,no,,,,
78f3b2ee5468f628a0c6dca664bf9da3fcd01ce8db3ade46824de916987fd78c,Rush,Troye Sivan,no,,,,
79e21b7a1f723ed2cf72b667bd0020a9f59d7ee6e40ed3572de26a207c222999,Fast Car,Luke Combs,no,,,,
7b6250cbecd5982608a319bd98d96a4f109731bbcb9f411a9aea39d2e42992b1,Moonlit Floor,LISA,no,,,,
7bfab576725489089a2e3c880a950a264e238f25059c31bd806a9484396cd8ac,ETA,NewJeans,no,,,,
7c1e416c5c8360ba9f21a1a0819d0a7c47e79474d61b32f7b7d0553bc08ba514,Drama,aespa,no,,,,
7ec8bf6061c473aeabef26f8f73fbeed712d03590b87f327f3ae0984f7e3c6bd,Shivers,Ed Sheeran,no,,,,
7f6f9d7fde69b2d6fce0c9e23570f79148f2991b007b15c2a34c391c0e8c9257,it boy,bbno$,no,,,,
7fe8946007c1acb4c7d754bd35cfee931adb1affec3348eaec45a206ec577308,句号,G.E.M.邓紫棋,no,,,,
7fed4b70bd4f6cfe40815cf6625eb812d138a67c0c09a37051036e56e6cdb948,Somebody That I Used to Know,Gotye;Kimbra,no,,,,
80851efbc98ae26da48ffc04c36478fa44945b2ecb80af63842a71260c23264a,Working for the Knife,Mitski,no,,,,
82745fe4c16420d0b9fb92d3673f0a9ca41fec2e73f57eaad5d4eaa013364317,Escapism.,070 Shake;RAYE,no,,,,
8499eb86382964f528e54780738395ec4b2a71abe993d656f130775794819c76,Perfect Night,LE SSERAFIM,no,,,,
861259e2b283f165b95f7175251921530b6d092689e8b9a882fc3501662a5e69,Ride It,Regard,no,,,,
86addd48966662e4b2a49051629eb13f9a674309e11a10d5ce277ec232d44296,number one girl,ROSÉ,no,,,,
881987254c549c73705497b79c61efc787dd3e34ff57e09598b25d2757d991cd,Lean On,Major Lazer;DJ Snake;MØ,no,,,,
8834ab4018bb398955592fcf46add07e508911c5d95abdbf63422871ddbd7b52,Kitsch,IVE,no,,,,
8836e17990d6f34a2a72ae3a1189f67106abc5fe87a5995c574d51c357986e30,On The Ground,ROSÉ,no,,,,
895c59c54b80b3c995b8e1abecdeae3b3c85a1623c499e50278457852632d6a1,Bubble Gum,NewJeans,no,,,,
89aa46b21a8eea916da51e2ed8b92ba165bedfeb24ce8f86892815b0c3a9ca3b,水星记,郭顶,no,,,,
89aed1a6d0c112e9196049d38fd700d4860b32bcd83272e481d4a8c99970bb96,Pleasure,蔡依林,no,,,,
8a6958a41bb1fb763536d3aa4cf9bde2125ebcec9a59fc2124c839eea3f3b34d,Armageddon,aespa,no,,,,
8c1656e27cedf4b2467ee795c5d8286919c8d8eb01a0f3eae452a10693169cd3,OMG,NewJeans,no,,,,
8c1fcd974837738c30fcf2a23c5b3f8389a1c5236a926192a34e699d2abad4c6,玫瑰少年,蔡依林,no,,,,
8e5ad0dbc01deefa435a3c8c4d8e75b7c27f2df098c3049cb42a42bd92ecdf5c,Light Switch,Charlie Puth,no,,,,
8e8329b969ff9991b8e7a4d33e9a2fb63a024b74e9861d26ff8b200b2f641221,Guess featuring Billie Eilish,Charli xcx;Billie Eilish,no,,,,
8ec98c855023186c76d68a5aad4eaebb76ca78f84791230b526cf9ea8a8ed91b,Seven (Shadw Edit),Jung Kook;Latto;MK (JPN),no,,,,
8f14e615758e61d62446772b770f22b0b32d6a4808aef7d7e68691dd06836b04,꽃 (FLOWER),JISOO,no,,,,
8f232208cdcfd43140f85c71f500e8794e070dd333783db08af71fe152e6906a,大展鸿图,揽佬SKAI ISYOURGOD;AR刘夫阳,no,,,,
8fbc3ba2b2228e1f144893c7fd57a0fac5f88070fd2f86403fffc5edf53fa0d4,"yes, and? (Explicit)",Ariana Grande,no,,,,
905c26b72b6b4a7292fef280f6c53a91d11da0927c0ab81a12d0a8fcd518478e,Betty (Get Money),Yung Gravy,no,,,,
91efe7fec2155c3c8da5e6767c372404b47458d4b216e10cc6e11ededb2fd07f,CRAZY,LE SSERAFIM,no,,,,
91f119be06b18ef5302614d2831e596a9f97647ed55f75120d41320f99bb5f7e,I AM,IVE,no,,,,
938ef1efd232216853b454e5629ed30eef9d718bb7071e505722735482d5e24e,bad idea right? (Explicit),Olivia Rodrigo,no,,,,
9479c5b513bf5250787bce130f8e5e8eb6d21497f591e92b4643914cd3a263cb,Physical,Dua Lipa,no,,,,
9516a34a417180ba2d4c047d759f4f965389fea1fb74820b9598e4a71164c284,Beautiful Things,Benson Boone,no,,,,
9555829677bb30e1dcac56b65f52175070a19b7c427e24a245d6e5271bf3984e,vampire (Explicit),Olivia Rodrigo,no,,,,
9566575156afa3a555020f71bc58ee6e3c0f1b5a4aa50fce06d39a0e236f510a,Sunroof,Nicky Youre;dazy,no,,,,
97bf34bb0a05f9fee7b16c641687e511ebba7ffa860af3df93701998fdecc380,Hallucinate,Dua Lipa,no,,,,
99a8fa129a969e1c5a4cdde35f6c36f1effb9544e0b1647afc8e17c8c5788b23,Bad Habits,Ed Sheeran,no,,,,
9acaaa00c2a1833ce246bff02b279d5accd1ad7ae0eaa50018451645c56f9f4a,Give A Little,Maggie Rogers,no,,,,
9b47721ce2953ee66cd37d67f0cb42c787221f833a7183772ac976f1b6580c4d,lovely,Billie Eilish;Khalid,no,,,,
9b6611d6733b817078469ddfc60ea824abd42e90723f3bf29cc089a33c3cc68d,"break up with your girlfriend, i'm bored (Explicit)",Ariana Grande,no,,,,
9bfac01774ee50b0f20036ab7d6ed71de1790a4c20b77b68b4143011ab4ce061,Sweet Relief,Madison Beer,no,,,,
9cd7463fb9e10d210462310114993247f7c546585eedf1e4f5cbb2c5b39daedb,Smart,LE SSERAFIM,no,,,,
9dc2cebc8bbd98e7fbf9b1a129f733532bb75fc498dc1ed0857bd7c1fe895137,美杜莎,蔡依林,no,,,,
9ebc7fe590b2913879615f8115c3b246b2378009d887905e60297d92b310f608,"I am not a woman, I'm a god",Halsey,no,,,,
a0f0153a2da716910d1cb9074723220b7f54d7ab3f69ce54dcf2cfcb38159852,Starboy (Explicit),The Weeknd;Daft Punk,no,,,,
a14332efa15b4930e67789cf49dfec92a7583c56c6e12c53ac563f8a364f74fd,Pretty Savage,BLACKPINK,no,,,,
a242afc15312c3df2da8ba7a95ca6cdeba6da2acdf833cc788e9beccecd8427a,Down Bad,Taylor Swift,no,,,,
a29f25fec07f10054856f18116c3c7ae680a81fe0926aed7f6de6c0b1ed6f8ae,Attention,Charlie Puth,no,,,,
a35d70b04defbbd2fceb2614f990eb944c0d1460f8508386212e69e58f169357,起风了,周深,no,,,,
a3966c8bbdfcd7c6e8ce86c74db337fcc4278c5aca57641f336f01975d29dc7b,i like the way you kiss me,Artemas,no,,,,
a446eeeffbd866ece8567991de9ebc5693159905bdd346bdf99b679a0478f9e5,Got Me Started,Troye Sivan,no,,,,
a50df70b1b915025b0c8bb96d4f38e81a570081dd6efb961f91034edc3c47d6a,化身孤岛的鲸,周深,no,,,,
a98415dec826983366cc73bded6fe8f971026c4ca97b0d38ca82f905aadba606,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM;Nile Rodgers,no,,,,
a990c8a36080f8b49e419067fa2630ee04af9c47fe55efb3e862b2d14852d180,Unstoppable,Sia,no,,,,
a9aa015869302b77e27ba814c128ac7f8e86277be6b4cc2922e2cea771388f96,ExtraL,JENNIE;Doechii,no,,,,
aa8d59d773164d6b1f1cc8203b226129b288bb9b616df0d074f0e75ea0db0f8e,bad idea right? (Explicit),Olivia Rodrigo,no,,,,
ab3b98427d0942d800df4cc6b5c71ab32c67c3b441745c515cd01a1ee067dd2c,Mantra (Explicit),JENNIE,no,,,,
ac63a31b99a4169f82989f98ff2cae4114ea0dcbac90616da6218f82fb3785fc,Dance The Night,Dua Lipa,no,,,,
ae9e4e2791214c2089b43e8b2c564a6b6879809f59c885ab2805ff5e9f99d5ae,get him back! (Explicit),Olivia Rodrigo,no,,,,
aed85c9e80da51b36a25b7063e81ae788f230bcfc2b469a7099d4c920fc98453,justified,Kacey Musgraves,no,,,,
af5f708f8c30b91739fd6e40a55897f15e3a3d19788c0d3ea0fa403b1a1e65cc,"Eve, Psyche & the Bluebeard's wife (English Ver.)",LE SSERAFIM,no,,,,
b17f031353ab4ade2d65616e14376b063f65ceda16234b663004b319922bef40,15 MINUTES,Madison Beer,no,,,,
b19419c078db53ec46afb37e1f50f7a13b807ee4e2c2b6065528f690b616890f,Nightmare,Halsey,no,,,,
b20627ff04546464a40873c8b8cdf470c1956cc26065b5f47a6f0c9326f8eb9f,Casual (Explicit),Chappell Roan,no,,,,
b2413a2e1e74afd9ee9e7c3121521557dd5af6478caa2f1037f182e331b52a0c,Deeper Well,Kacey Musgraves,no,,,,
b30f1d95423cd7b86e9bf696a4203a6b7334d62c5ed58279f3c9b7b33901abaa,Don't Start Now,Dua Lipa,no,,,,
b5b3688c5394025bb623c442a5dc3a0be90d1c356890dd970c482d1882d27440,Taste,Sabrina Carpenter,no,,,,
b79209a0ecd7d8cac7743724eaf5145391098b2a4791c18be7e8bce5bbf12104,凄美地,郭顶,no,,,,
b7c1c603e9ee22c8f7fac65648580109edd5d1e30d967b8371fece1b93e14cf1,Like Crazy,Jimin,no,,,,
bc2527f3cfaf49c15af2993ab35b5e0cabfd7325fe2e435ec878e208e6c19a34,Baby,Madison Beer,no,,,,
bc8a525197d46676ad905e4f3546ddb9333269a6628b0cf5a4aee7d001fc7f8a,Sports car,Tate McRae,no,,,,
bd00b3f2a444b1a5c7f4c4cd231e8181a1918d44ea1a4345d9a9e4ea02f74a38,Espresso (Explicit),Sabrina Carpenter,no,,,,
bd5673775738546ab56aad350854720239994d45e33942f6f4ce2deecca38e44,As It Was,Harry Styles,no,,,,
bd63c564bb2c7e344fb4ccbd099d1324b104d0992d0541804a20748c00f56643,Levitating,Dua Lipa,no,,,,
be6a01789337008e93cae31f177535f6d779c0d8836fe6ba56bd2575d52eb29c,Something Just Like This,The Chainsmokers;Coldplay,no,,,,
bee59dfc76b1dbd7195714daa739f6ad208929fc37c051b0da246b37bd2a0b78,Team,Iggy Azalea,no,,,,
bf547264c3268a8c4b7fb37947f0aa45748d10925fa75d22cb86f72c0afcea89,bad guy,Billie Eilish,no,,,,
c00420cdb2665db25dc55d46e79fd9dddfb4363380915c55fed2c6e13ccf49a5,I AM,IVE,no,,,,
c053a9b5dde73d326f7276cd0e10d2e0be794a23e9a6eb6b4cffb2bd389a8b86,APT.,ROSÉ;Bruno Mars,no,,,,
c05668b1ee2635961847685bde22dda8969f27f3bc117ea7d262371bc5bb1dd4,爱人错过,告五人,no,,,,
