severity,issue_type,track_id,title,artist,details,suggested_fix
medium,missing_bpm,3eddf72cdfc044c1c711947271170201c2c49c11aa37f5ba9f740c89bc219615,LEFT RIGHT,XG,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,3eddf72cdfc044c1c711947271170201c2c49c11aa37f5ba9f740c89bc219615,LEFT RIGHT,XG,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,40fe606f82062459503ac6cdfd621a69b6d6405dce42645d88bb9694ed212896,MASCARA,XG,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,40fe606f82062459503ac6cdfd621a69b6d6405dce42645d88bb9694ed212896,MASCARA,XG,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,143059b436b59932ef4ea145c1fdb50a494bfdf956edf3ae85e596b2eb457976,SHOOTING STAR,XG,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,143059b436b59932ef4ea145c1fdb50a494bfdf956edf3ae85e596b2eb457976,SHOOTING STAR,XG,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,6ca5a653e0c98e5081896bb04cfc77c96a7b317fc96cf2f38741ccad285394db,TGIF,XG,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,6ca5a653e0c98e5081896bb04cfc77c96a7b317fc96cf2f38741ccad285394db,TGIF,XG,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,1c53efeceb7a8d7d88b20b271b55bcfad0326d1c9739a3c2815f1fe6ff42ed26,WOKE UP,XG,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,1c53efeceb7a8d7d88b20b271b55bcfad0326d1c9739a3c2815f1fe6ff42ed26,WOKE UP,XG,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,1f4a510819653eadc246cf63d82d6d23badf8bfabed40a9b1ee11c15dff97b08,Lalala,Y2K;bbno$,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,1f4a510819653eadc246cf63d82d6d23badf8bfabed40a9b1ee11c15dff97b08,Lalala,Y2K;bbno$,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,905c26b72b6b4a7292fef280f6c53a91d11da0927c0ab81a12d0a8fcd518478e,Betty (Get Money),Yung Gravy,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,905c26b72b6b4a7292fef280f6c53a91d11da0927c0ab81a12d0a8fcd518478e,Betty (Get Money),Yung Gravy,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,4f0c5f051b423a878fcc122efa5268cbf6568e99fd70e39b4890e76e0714ea7c,oops!,Yung Gravy,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,4f0c5f051b423a878fcc122efa5268cbf6568e99fd70e39b4890e76e0714ea7c,oops!,Yung Gravy,BPM not analyzed.,Generate embedding when library grows
medium,behavior_missing,,,,No play_events recorded for this user; recommendation cannot learn from behavior yet.,Use production app after deploy; verify play_events insert
